System Name	ctrl-c club
UUCP Name(s)	?
Start Year	?
Last Seen	2019
Active?	yes
URL(s)	https://ctrl-c.club
Operating System(s)	?
Web Server  ?
Hardware	Digital Ocean VPS
Location	?
Key Figures	Eric Budd
Local Software	?
Notes	Ctrl-C Club is a Linux server offering free SSH and web accounts to users who want to build webpages, chat online, learn Linux, play text console games, or fiddle around writing software.
